sensor_id,tipo_elem,osm_node,snap_dist_m,lat_sensor,lon_sensor,lat_nodo,lon_nodo,calidad
5604,URB,102188265,97.2,40.457,-3.67327,40.457013,-3.674419,aceptable
5605,URB,119806747,45.6,40.457041,-3.675351,40.457074,-3.675889,bueno
5606,URB,98964423,7.5,40.458561,-3.680401,40.45853,-3.680479,bueno
5607,URB,2494930275,21.3,40.458545,-3.674589,40.458577,-3.674341,bueno
5608,URB,29803013,32.5,40.459165,-3.6767,40.458877,-3.676767,bueno
5609,URB,29803008,46.0,40.45797,-3.676943,40.458373,-3.676817,bueno
5610,URB,119838822,30.6,40.454548,-3.67806,40.454694,-3.677753,bueno
5611,URB,616266900,32.7,40.453033,-3.678882,40.45274,-3.678842,bueno
5612,URB,119838820,29.3,40.453384,-3.679708,40.45323,-3.679988,bueno
5613,URB,2637038896,36.5,40.467349,-3.682505,40.467338,-3.682936,bueno
5614,URB,31322833,11.4,40.467616,-3.67981,40.467604,-3.679676,bueno
5615,URB,102361364,34.4,40.46808,-3.6814,40.468389,-3.68142,bueno
5616,URB,98970998,40.6,40.45884,-3.669656,40.45871,-3.670104,bueno
5617,URB,1775159830,18.3,40.459677,-3.666246,40.459683,-3.666463,bueno
5618,URB,1775159830,17.9,40.459592,-3.666288,40.459683,-3.666463,bueno
5619,URB,320596960,61.6,40.460072,-3.667098,40.459736,-3.667676,aceptable
5621,URB,102519220,22.5,40.460009,-3.671696,40.460211,-3.671678,bueno
5622,URB,26412629,6.0,40.464724,-3.694578,40.464702,-3.694513,bueno
5623,URB,26412844,28.9,40.457098,-3.701774,40.456856,-3.701897,bueno
5624,URB,93868939,3.8,40.459669,-3.699247,40.459694,-3.699279,bueno
5625,URB,26412663,27.9,40.463088,-3.696804,40.462897,-3.697017,bueno
5626,URB,26412630,14.4,40.464418,-3.695219,40.464506,-3.695093,bueno
5627,URB,26412625,3.6,40.465255,-3.692819,40.465278,-3.692787,bueno
5628,URB,81568599,21.7,40.46478,-3.692948,40.464601,-3.692846,bueno
5629,URB,60106832,3.7,40.464912,-3.696404,40.464882,-3.696388,bueno
5630,URB,91611942,4.1,40.460958,-3.699251,40.460995,-3.699254,bueno
5631,URB,81571928,32.7,40.459552,-3.698376,40.459644,-3.698743,bueno
5632,URB,93862635,6.3,40.457207,-3.702465,40.457212,-3.702539,bueno
5633,URB,81478204,40.3,40.457195,-3.700176,40.457093,-3.699718,bueno
5634,URB,81468698,38.0,40.4542,-3.692483,40.453858,-3.692492,bueno
5635,URB,81468696,30.6,40.455265,-3.692376,40.45499,-3.692385,bueno
5636,URB,81468692,46.2,40.458088,-3.692096,40.457673,-3.692132,bueno
5637,URB,81468689,58.5,40.459719,-3.691902,40.459197,-3.691988,aceptable
5638,URB,81468688,41.4,40.461068,-3.691816,40.460696,-3.691836,bueno
5639,URB,81468683,30.5,40.464485,-3.691478,40.464211,-3.691505,bueno
5640,URB,81476950,43.1,40.454959,-3.691346,40.454892,-3.690844,bueno
5641,URB,81466852,67.5,40.455061,-3.69397,40.455143,-3.694761,aceptable
5642,URB,81478195,36.9,40.456213,-3.691334,40.45617,-3.690901,bueno
5643,URB,81468695,92.4,40.456289,-3.693358,40.456241,-3.692267,aceptable
5645,URB,25906501,42.4,40.459151,-3.691106,40.459184,-3.690607,bueno
5646,URB,81466856,92.1,40.459186,-3.693249,40.459253,-3.694334,aceptable
5647,URB,81485403,53.3,40.460655,-3.69092,40.460604,-3.690293,aceptable
5648,URB,81466860,83.2,40.460786,-3.693126,40.460889,-3.6941,aceptable
5649,URB,1738553332,25.7,40.462075,-3.69083,40.462015,-3.690537,bueno
5650,URB,81466861,42.6,40.461743,-3.69397,40.462125,-3.693936,bueno
5651,URB,81466858,29.8,40.460441,-3.69416,40.460176,-3.694215,bueno
5653,URB,81507799,31.4,40.463307,-3.69378,40.463519,-3.693534,bueno
5654,URB,81507802,15.9,40.461783,-3.695294,40.461682,-3.695427,bueno
5655,URB,81468686,60.8,40.462126,-3.692428,40.462103,-3.691709,aceptable
5656,URB,81466860,87.0,40.460822,-3.693076,40.460889,-3.6941,aceptable
5657,URB,11227229112,25.7,40.459195,-3.694968,40.459413,-3.694867,bueno
5658,URB,81480667,30.9,40.459685,-3.695689,40.459797,-3.696023,bueno
5659,URB,81468689,92.2,40.459256,-3.693075,40.459197,-3.691988,aceptable
5660,URB,81468695,83.5,40.456324,-3.693248,40.456241,-3.692267,aceptable
5661,URB,81466852,76.6,40.455097,-3.693857,40.455143,-3.694761,aceptable
5662,URB,81478198,13.5,40.456517,-3.696777,40.456499,-3.696935,bueno
5663,URB,81477265,59.5,40.455701,-3.695307,40.455167,-3.69533,aceptable
5664,URB,81577762,22.3,40.45602,-3.69828,40.455833,-3.698376,bueno
5665,URB,81478202,42.4,40.457077,-3.697868,40.456716,-3.698028,bueno
5666,URB,81507805,37.4,40.458717,-3.697188,40.458394,-3.697312,bueno
5667,URB,81507806,62.0,40.45747,-3.69775,40.457991,-3.697492,aceptable
5668,URB,81570925,17.1,40.457944,-3.697022,40.457941,-3.69682,bueno
5669,URB,81468686,39.2,40.462073,-3.691248,40.462103,-3.691709,bueno
5670,URB,81468691,23.9,40.459092,-3.691716,40.459089,-3.691998,bueno
5671,URB,81507803,15.5,40.460658,-3.696368,40.460767,-3.696254,bueno
5672,URB,81571719,21.5,40.459492,-3.6968,40.45968,-3.696738,bueno
5673,URB,11227229112,32.8,40.459635,-3.695124,40.459413,-3.694867,bueno
